,id_x,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,renov_yr_clean,view_ord,condition_ord,grade_ord,age,id_y,latitude,longitude,airbnb_avg_price,house_price,profit,profitable?,#,Location,City,Population,Avg. Income/H/hold,National Rank
0,7129300520,2014-10-13,3,1.0,1180,5650,1.0,0,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,1955.0,0.0,2.0,4.0,60,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,221900.0,25384.418097576174,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
1,4060000240,2014-06-23,2,1.0,880,6780,1.0,0,880,0.0,1945,0.0,98178,47.5009,-122.248,1190,6780,1945.0,0.0,3.0,3.0,70,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,205425.0,26607.03409322239,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
2,4058801670,2014-07-17,3,2.25,2100,8201,1.0,0,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,1967.0,2.0,2.0,5.0,48,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,445000.0,8828.082520722055,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
3,2976800796,2014-09-25,3,1.0,1300,5898,1.0,0,1300,0.0,1961,0.0,98178,47.5053,-122.255,1320,7619,1961.0,0.0,2.0,4.0,54,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,236000.0,24338.051752288662,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
4,6874200960,2015-02-27,2,1.0,860,5265,1.0,0,860,0.0,1931,0.0,98178,47.5048,-122.272,1650,8775,1931.0,0.0,2.0,3.0,84,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,170000.0,29235.93677278338,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
5,4268200055,2015-05-01,3,1.75,1740,11547,1.0,0,1740,0.0,1954,0.0,98178,47.4945,-122.22,880,78408,1954.0,0.0,2.0,4.0,61,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,245000.0,23670.15834040302,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
6,3969300030,2014-07-23,4,1.0,1000,7134,1.0,0,1000,0.0,1943,0.0,98178,47.4897,-122.24,1020,7138,1943.0,0.0,2.0,3.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,165000.0,29606.988668275408,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
7,3969300030,2014-12-29,4,1.0,1000,7134,1.0,0,1000,0.0,1943,0.0,98178,47.4897,-122.24,1020,7138,1943.0,0.0,2.0,3.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,239900.0,24048.631273804884,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
8,1678400105,2015-02-12,4,1.5,2390,7480,1.5,0,2390,0.0,1920,0.0,98178,47.504,-122.227,2850,6867,1920.0,2.0,2.0,4.0,95,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,339000.0,16694.38270515297,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
9,2172000075,2014-06-23,2,2.0,1610,17600,2.0,0,1610,0.0,1930,1983.0,98178,47.4855,-122.266,1310,12950,1983.0,0.0,2.0,3.0,85,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,290900.0,20263.90193978624,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
10,1180003090,2014-09-06,2,1.0,630,6000,1.0,0,630,0.0,1943,2005.0,98178,47.4973,-122.221,1470,6840,2005.0,0.0,2.0,3.0,72,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,190000.0,27751.729190815287,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
11,561000075,2014-12-31,3,1.0,1180,5350,1.5,0,1180,0.0,1959,0.0,98178,47.505,-122.259,1490,5350,1959.0,0.0,3.0,3.0,56,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,260000.0,22557.00265392695,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
12,1123049053,2015-02-13,4,2.5,1840,9611,2.0,0,1840,0.0,1996,0.0,98178,47.4964,-122.251,1830,8505,1996.0,0.0,2.0,4.0,19,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,360000.0,15135.964744086468,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
13,7812800565,2014-08-14,3,1.0,960,6400,1.0,0,820,140.0,1944,0.0,98178,47.496,-122.239,1200,6600,1944.0,0.0,3.0,3.0,71,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,289500.0,20367.796470524005,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
14,3348401740,2015-01-27,2,1.5,1120,17487,1.0,0,1120,0.0,1924,0.0,98178,47.5024,-122.271,1690,8056,1924.0,0.0,2.0,3.0,91,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,188000.0,27900.14994901209,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
15,2171400197,2014-09-18,5,3.0,2520,5500,1.0,0,1550,970.0,2004,0.0,98178,47.4938,-122.255,1700,8000,2004.0,0.0,2.0,5.0,11,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,350000.0,15878.068535070517,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
16,5476200160,2014-07-25,3,1.0,1250,5411,1.0,0,1250,0.0,1980,0.0,98178,47.5064,-122.265,1490,6320,1980.0,0.0,2.0,4.0,35,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,164808.0,29621.2370610623,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
17,9368700223,2015-02-02,4,3.0,2010,7426,1.0,0,1090,920.0,1951,0.0,98178,47.5042,-122.265,1470,7426,1951.0,0.0,4.0,4.0,64,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,310000.0,18846.48369900671,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
18,7567600045,2014-08-27,2,1.0,1150,12775,1.0,1,1150,0.0,1908,0.0,98178,47.502,-122.222,2440,11852,1908.0,4.0,3.0,3.0,107,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,825000.0,-19371.86153667178,0,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
19,2171400126,2014-06-05,3,1.0,1690,4250,1.0,0,1020,670.0,1967,0.0,98178,47.4945,-122.258,1820,8865,1967.0,0.0,2.0,4.0,48,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,269000.0,21889.109242041304,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
20,3352402236,2014-12-15,3,2.0,1150,6000,1.0,0,1150,0.0,1956,0.0,98178,47.49800000000001,-122.263,1980,6360,1956.0,0.0,4.0,4.0,59,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,252500.0,23113.580497164985,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
21,8069000075,2014-12-29,4,1.75,2460,10061,1.0,1,1410,1050.0,1961,0.0,98178,47.5105,-122.238,2300,10061,1961.0,4.0,2.0,4.0,54,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,790000.0,-16774.49826822761,0,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
22,7812800310,2014-06-25,2,1.0,1120,5650,1.0,0,1120,0.0,1944,0.0,98178,47.4979,-122.241,1270,6875,1944.0,0.0,2.0,3.0,71,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,260000.0,22557.00265392695,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
23,2171400218,2015-04-16,4,1.5,1280,8000,1.0,0,1280,0.0,1960,0.0,98178,47.4949,-122.255,1420,8211,1960.0,0.0,2.0,3.0,55,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,245000.0,23670.15834040302,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
24,8073000550,2015-04-15,4,3.75,3190,17186,2.0,1,3190,0.0,1999,0.0,98178,47.5115,-122.246,2290,13496,1999.0,4.0,2.0,7.0,16,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,1700000.0,-84305.94324777598,0,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
25,4058800830,2015-03-18,6,3.0,3840,14040,1.5,0,2460,1380.0,1949,0.0,98178,47.506,-122.241,2170,6765,1949.0,3.0,2.0,5.0,66,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,612000.0,-3565.0507887115455,0,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
26,9368700341,2014-08-22,3,2.0,2110,6900,1.5,0,1220,890.0,1955,0.0,98178,47.504,-122.26,1350,7683,1955.0,0.0,4.0,3.0,60,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,285000.0,20701.743176466825,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
27,1180002378,2014-09-26,4,2.5,1950,3000,2.0,0,1950,0.0,2002,0.0,98178,47.4977,-122.226,1170,6000,2002.0,0.0,2.0,4.0,13,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,299000.0,19662.79786908916,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
28,185000118,2015-02-23,4,2.0,1880,7500,1.0,0,980,900.0,1946,0.0,98178,47.495,-122.266,1670,14350,1946.0,0.0,4.0,3.0,69,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,212000.0,26119.10085065038,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
29,3810000860,2015-05-06,4,1.5,1920,7973,1.0,0,1920,0.0,1955,0.0,98178,47.4961,-122.235,2020,8840,1955.0,0.0,2.0,5.0,60,7.34567955964521e+16,47.50040313507787,-122.2437512526704,170.1219512195122,240000.0,24041.210235895047,1,154,"47.496558, -122.251473","Seattle, Washington",21860,47461,"#6,983"
