id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
580365544480383496,Adorable fireplace studio minutes from airport,3436665,Hanna,Delridge,Highland Park,47.51075,-122.34122,Entire home/apt,149,2,5,2022-05-10,1.70,1,28,5,
5164039,NW Luxury and Private Beach! Near Airport,26710300,Jack,West Seattle,Arbor Heights,47.4977,-122.37003,Entire home/apt,98,3,11,2018-08-11,0.21,1,161,0,
33448826,4 BR/四房间. 11min to  Sea-Tac Airport近机场. English/中文,65554077,Luo(荦),Delridge,Highland Park,47.50452,-122.34009,Entire home/apt,335,2,30,2021-10-24,0.78,1,293,10,
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,157,2021-09-14,1.00,2,84,6,str-opli-19-002622
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,80,2,156,2022-04-03,1.08,8,331,8,STR-OPLI-19-003039
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,185,5,62,2022-04-15,0.49,2,216,17,STR-OPLI-19-002182
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,145,3,65,2022-06-12,0.51,2,251,7,STR-OPLI-19-002182
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,130,30,97,2020-09-28,0.72,2,37,0,STR -OPLI-19-002622
9909,"Luna Lower - West Seattle, dog friendly",33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,225,3,81,2022-05-25,0.53,8,190,5,STR-OPLI-19-000033
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,89,2,914,2022-06-06,6.18,1,63,60,STR-OPLI-19-002617
677266,Moulin Rouge room French style double room,30559,Angielena,Other neighborhoods,Georgetown,47.55041,-122.31857,Private room,70,2,113,2022-05-22,0.95,8,292,19,STR-OPLI-19-003039
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.67843,-122.38207,Entire home/apt,67,30,97,2020-03-17,0.66,2,165,0,STR-OPLI-19-002891
68508,"Private Entry 180º Views City, Mountains & Lake",340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,165,7,1,2021-11-01,0.13,3,0,1,STR-OPLI-19-002747
107884,West Seattle/Alki Beach House,331494,Anne,West Seattle,Alki,47.57985,-122.40412,Entire home/apt,135,2,185,2021-08-30,1.37,1,152,6,STR-OPLI-19-000686
677365,Spacious West Seattle Mid Century Modern In-law,926885,Jamie & Kyle,Delridge,South Delridge,47.52957,-122.36013,Entire home/apt,139,1,207,2022-06-13,3.93,2,8,44,STR-OPLI-19-002932
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,90,48,2022-03-26,0.36,1,0,3,
681866,Bright room in Seattle Judkins Park,103825,Patricia,Central Area,Atlantic,47.59245,-122.30322,Private room,60,30,43,2019-11-11,0.36,1,0,0,
689309,Elegance and Coziness in Broadview,3520873,Philippe,Other neighborhoods,Broadview,47.72131,-122.35846,Private room,155,30,17,2021-10-01,0.15,1,332,3,STR-OPLI-19-003395
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65244,-122.35108,Entire home/apt,90,3,479,2022-06-05,3.57,2,297,57,STR-OPLI-19-000772
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66938,-122.33516,Entire home/apt,75,30,126,2020-08-03,0.94,1,165,0,STR-OPLI-19-001229
703058,True Wallingford Craftsman,1611114,Craig,Other neighborhoods,Wallingford,47.65144,-122.33734,Entire home/apt,260,4,194,2022-04-18,1.64,1,126,17,STR-OPLI-19-001188
132160,Green Lake Guest Suite with Infrared Sauna,558743,Natalie,Other neighborhoods,Green Lake,47.68205,-122.34275,Entire home/apt,184,3,344,2022-06-05,2.60,1,97,41,STR-OPLI-19-000659
704764,Elegant Vintage Craftsman Apartment With Garden,3620313,Catherine,Queen Anne,North Queen Anne,47.64057,-122.36956,Entire home/apt,198,1,321,2022-05-30,2.78,1,25,32,STR-OPLI-19-001424
